chapter,method,character,mention
59,chapter_all_gpt-4o-mini_individual,Mr. Bennet,Mr. Bennet withdrew to the library
61,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,with what delighted pride she afterwards visited Mrs. Bingley
61,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,talked of Mrs. Darcy
61,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,she still was occasionally nervous and invariably silly
61,chapter_all_gpt-4o-mini_individual,Mr. Bennet,Mr. Bennet missed his second daughter exceedingly
61,chapter_all_gpt-4o-mini_individual,Mr. Bennet,his affection for her drew him oftener from home than anything else could do
61,chapter_all_gpt-4o-mini_individual,Mr. Bennet,"He delighted in going to Pemberley, especially when he was least expected"
61,chapter_all_gpt-4o-mini_individual,Jane,her affectionate heart
61,chapter_all_gpt-4o-mini_individual,Kitty,"to her very material advantage, spent the chief of her time with her two elder sisters"
61,chapter_all_gpt-4o-mini_individual,Kitty,"in society so superior to what she had generally known, her improvement was great"
61,chapter_all_gpt-4o-mini_individual,Kitty,she was not of so ungovernable a temper as Lydia
61,chapter_all_gpt-4o-mini_individual,Kitty,"by proper attention and management, less irritable, less ignorant, and less insipid"
61,chapter_all_gpt-4o-mini_individual,Mary,she could still moralize over every morning visit
61,chapter_all_gpt-4o-mini_individual,Mary,it was suspected by her father that she submitted to the change without much reluctance
61,chapter_all_gpt-4o-mini_individual,Wickham,He bore with philosophy the conviction that Elizabeth must now become acquainted with whatever of his ingratitude and falsehood had before been unknown to her
61,chapter_all_gpt-4o-mini_individual,Lydia,her characters suffered no revolution from the marriage of her sisters
61,chapter_all_gpt-4o-mini_individual,Lydia,did not think we shall have quite money enough to live upon without some help
61,chapter_all_gpt-4o-mini_individual,Miss Bingley,was very deeply mortified by Darcy’s marriage
61,chapter_all_gpt-4o-mini_individual,Miss Bingley,she dropped all her resentment
61,chapter_all_gpt-4o-mini_individual,Miss Bingley,"was fonder than ever of Georgiana, almost as attentive to Darcy as heretofore"
61,chapter_all_gpt-4o-mini_individual,Lady Catherine de Bourgh,was extremely indignant on the marriage of her nephew
61,chapter_all_gpt-4o-mini_individual,Lady Catherine de Bourgh,as she gave way to all the genuine frankness of her character
61,chapter_all_gpt-4o-mini_individual,Lady Catherine de Bourgh,"she sent him language so very abusive, especially of Elizabeth"
61,chapter_all_gpt-4o-mini_individual,Mr. Darcy,"he, who had always inspired in herself a respect which almost overcame her affection"
49,chapter_all_gpt-4o-mini_individual,Elizabeth,panting for breath
49,chapter_all_gpt-4o-mini_individual,Jane,"who was not so light, nor so much in the habit of running as Elizabeth"
49,chapter_all_gpt-4o-mini_individual,Mr. Bennet,deliberately pursuing his way towards a small wood on one side of the paddock
49,chapter_all_gpt-4o-mini_individual,Mr. Bennet,Mr. Bennet made no answer
49,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,"disturbed by no fear for her felicity, nor humbled by any remembrance of her misconduct"
49,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,she was now in an irritation as violent from delight as she had ever been fidgety from alarm and vexation
48,chapter_all_gpt-4o-mini_individual,Wickham,he was declared to be in debt to every tradesman in the place
48,chapter_all_gpt-4o-mini_individual,Wickham,"his intrigues, all honoured with the title of seduction, had been extended into every tradesman’s family"
48,chapter_all_gpt-4o-mini_individual,Wickham,Everybody declared that he was the wickedest young man in the world
48,chapter_all_gpt-4o-mini_individual,Mr. Gardiner,Mr. Gardiner had waited only for the letters before he set off
48,chapter_all_gpt-4o-mini_individual,Mr. Gardiner,"He added, that Mr. Bennet seemed wholly disinclined at present to leave London"
48,chapter_all_gpt-4o-mini_individual,Mr. Collins,"Mr. Collins, which, as Jane had received directions to open all that came for him in his absence, she accordingly read"
48,chapter_all_gpt-4o-mini_individual,Mr. Collins,his letters always were
48,chapter_all_gpt-4o-mini_individual,Mrs. Gardiner,"She shared in their attendance on Mrs. Bennet, and was a great comfort to them in their hours of freedom"
48,chapter_all_gpt-4o-mini_individual,Mrs. Gardiner,Mrs. Gardiner began to wish to be at home
48,chapter_all_gpt-4o-mini_individual,Elizabeth,"Elizabeth, who was by this time tolerably well acquainted with her own feelings, was perfectly aware"
48,chapter_all_gpt-4o-mini_individual,Mr. Bennet,he had all the appearance of his usual philosophic composure
48,chapter_all_gpt-4o-mini_individual,Mr. Bennet,He said as little as he had ever been in the habit of saying
60,chapter_all_gpt-4o-mini_individual,Mr. Darcy,"he bore it, however, with admirable calmness."
60,chapter_all_gpt-4o-mini_individual,Miss Bingley,her congratulations to her brother on his approaching marriage were all that was affectionate and insincere.
60,chapter_all_gpt-4o-mini_individual,Mrs. Philips,"Mrs. Philips’s vulgarity was another, and, perhaps, a greater tax on his forbearance."
60,chapter_all_gpt-4o-mini_individual,Sir William Lucas,he complimented him on carrying away the brightest jewel of the country.
60,chapter_all_gpt-4o-mini_individual,Miss Darcy,The joy which Miss Darcy expressed on receiving similar information was as sincere as her brother’s in sending it.
